word,percent
the,0.0565107647867
,0.0523816907134
to,0.0257215054079
of,0.0250482260766
a,0.0243078981812
and,0.0227434316852
in,0.0203673981944
that,0.0115267656471
for,0.00903200032407
on,0.00840481688059
is,0.00780417349375
it,0.00710854464107
was,0.00694790745622
said,0.00684314407479
he,0.00647717066234
with,0.00617265843366
as,0.0057005247947
at,0.00496578427963
by,0.00489733887043
his,0.00473251115032
have,0.00440844309044
be,0.00428691756798
i,0.00425758382118
from,0.00409554979124
but,0.00407878765021
has,0.00395027790233
are,0.0039432936769
an,0.0037868470273
not,0.00374494167473
they,0.00350747801017
who,0.00338455564263
this,0.0030940118648
had,0.00301439169492
we,0.00272803845235
were,0.00262886245127
would,0.00251432115424
their,0.0024598441959
been,0.00241793884333
or,0.00237603349076
about,0.00236346188499
will,0.00234390605379
one,0.00227825433476
more,0.00226149219373
which,0.00221399946082
you,0.00208548971293
she,0.00202542537425
after,0.00196955157082
its,0.00194859889454
when,0.00194580520437
people,0.00185081973854
there,0.00181170807614
new,0.00179773962528
—,0.00179215224494
her,0.00170554784963
out,0.00168319832826
mr,0.00166084880688
up,0.00165386458146
all,0.0016496740462
if,0.00157005387631
also,0.00155748227054
can,0.00153932328443
what,0.00150719584746
into,0.00146808418506
than,0.00146808418506
some,0.00145970311455
no,0.00144573466369
last,0.0014052261562
two,0.00139125770535
other,0.00136890818398
over,0.0013563365782
so,0.00132979652158
years,0.00129766908461
them,0.00129766908461
like,0.00129068485918
could,0.00122084260489
government,0.00118173094249
president,0.00115798457604
time,0.00114820666044
first,0.00113703189975
just,0.00113423820958
most,0.00113144451941
year,0.00110630130787
do,0.00110490446278
him,0.00109093601192
my,0.00107138018072
because,0.00103785589867
where,0.00102668113798
â,0.00102388744781
only,0.000959632573869
now,0.000954045193526
our,0.000945664123012
how,0.000923314601641
any,0.000917727221298
state,0.000893980854841
many,0.000880012403984
say,0.000866043953127
before,0.000863250262956
even,0.000847884967014
those,0.000845091276842
made,0.000833916516157
then,0.0008297259809
sunday,0.0008297259809
house,0.0008297259809
police,0.000815757530043
while,0.000811566994786
get,0.000785026938157
against,0.000778042712729
being,0.000758486881529
such,0.000747312120844
u.s,0.000736137360158
country,0.000731946824901
three,0.000730549979816
told,0.00072915313473
did,0.00072915313473
me,0.000724962599473
through,0.000723565754387
since,0.000716581528959
officials,0.000710994148616
much,0.000706803613359
down,0.000704009923187
during,0.000698422542845
way,0.000697025697759
back,0.000687247782159
make,0.000683057246902
says,0.000683057246902
very,0.000678866711645
going,0.000671882486217
still,0.000670485641131
may,0.00066769195096
obama,0.000659310880445
-,0.000659310880445
states,0.000652326655017
2013,0.000645342429589
including,0.000639755049246
day,0.00063835820416
friday,0.000634167668903
week,0.000632770823817
city,0.000624389753303
know,0.000620199218046
off,0.00061880237296
your,0.000614611837703
us,0.000613214992618
public,0.000613214992618
world,0.000609024457361
these,0.000609024457361
